"grid";"year";"CostDist_road";"CostDist_urban";"CostDist_water";"verbatimElevation";"Sensitivity";"Agriculture";"OakForest";"HighShrub";"LowShrub";"PineForest";"Rock";"Urban";"Shrub";"Urban_agri"
"a1";2015;235.262;584.506;80.776;918;80;0;58567.8;84048.657;347509.799;155535.369;352300.506;2092.627;431558.456;2092.627
"a2";2015;271.796666666667;1371.28666666667;67.57;1040;100;0;20740.941;288998.324;294345.061;60357.833;335477.355;0;583343.385;0
"a3";2015;546.975;993.5225;87.4375;1095;100;0;110947.653;89408.436;234189.29;6585.111;559033.299;0;323597.726;0
"a4";2015;761.4775;570.485;147.585;1027.5;100;0;169066.553;94037.841;300547.547;29245.019;406843.65;255.665;394585.388;255.665
"b1";2015;1091.825;935.175;45.7775;1052.5;75;0;25338.905;153801.049;172325.162;98227.646;550300.351;0;326126.211;0
"b2";2015;1097.15;1509.8025;67.9375;1130;100;0;7663.425;40673.261;260954.874;23515.925;667192.038;0;301628.135;0
"b3";2015;1254.8675;1351.095;21.965;1100;100;0;87827.346;119105.409;171931.337;0;620801.771;0;291036.746;0
"b4";2015;1386.105;1244.56;10.9725;1045;100;0;461268.632;12168.686;99857.263;0;426893.118;0;112025.949;0
"c1";2015;1082.5475;1055.9775;52.68;1045;100;10654.723;58173.831;39688.774;187368.402;75863.416;628277.328;0;227057.176;10654.723
"c2";2015;1194.165;1071.8825;31.625;1012.5;75;0;23.092;37236.976;152625.735;142243.811;667870.098;0;189862.711;0
"c3";2015;574.4325;499.59;33.7125;910;100;13504.658;305471.37;88610.774;61583.332;80684.753;437625.877;12664.92;150194.106;26169.578
"c4";2015;440.9875;324.205;39.9875;890;75;42633.825;445381.857;101665.796;135330.1;0;262725.097;12348.747;236995.896;54982.572
"d1";2015;277.823333333333;243.42;23.7966666666667;973.333333333333;100;115772.545;83733.578;193948.36;187301.771;0;260270.797;158987.801;381250.131;274760.346
"d2";2015;320.0675;421.9525;109.9375;925;100;28870.609;259473.411;147426.537;131002.778;0;432887.484;188.332;278429.315;29058.941
"d3";2015;276.1425;335.74;31.7325;802.5;75;87744.661;432215.033;109608.745;80016.634;0;273886.172;16563.377;189625.379;104308.038
"d4";2015;129.2475;232.7825;35.0875;802.5;75;69910.924;340623.885;72650.256;263185.784;0;236390.201;17315.795;335836.04;87226.719
