"";"grid";"week1_2015";"week2_2015";"week3_2015";"week4_2015";"week5_2015";"week6_2015";"week7_2015";"week8_2015";"week9_2015";"week10_2015";"week11_2015";"week12_2015";"week13_2015";"week14_2015";"week15_2015";"week16_2015";"week1_2016";"week2_2016";"week3_2016";"week4_2016";"week5_2016";"week6_2016";"week7_2016";"week8_2016";"week9_2016";"week10_2016";"week11_2016";"week12_2016";"week13_2016";"week14_2016";"week15_2016";"week16_2016";"week1_2017";"week2_2017";"week3_2017";"week4_2017";"week5_2017";"week6_2017";"week7_2017";"week8_2017";"week9_2017";"week10_2017";"week11_2017";"week12_2017";"week13_2017";"week14_2017";"week15_2017";"week16_2017";"week1_2018";"week2_2018";"week3_2018";"week4_2018";"week5_2018";"week6_2018";"week7_2018";"week8_2018";"week9_2018";"week10_2018";"week11_2018";"week12_2018";"week13_2018";"week14_2018";"week15_2018";"week16_2018";"week1_2019";"week2_2019";"week3_2019";"week4_2019";"week5_2019";"week6_2019";"week7_2019";"week8_2019";"week9_2019";"week10_2019";"week11_2019";"week12_2019";"week13_2019";"week14_2019";"week15_2019";"week16_2019";"week1_2020";"week2_2020";"week3_2020";"week4_2020";"week5_2020";"week6_2020";"week7_2020";"week8_2020";"week9_2020";"week10_2020";"week11_2020";"week12_2020";"week13_2020";"week14_2020";"week15_2020";"week16_2020";"week1_2021";"week2_2021";"week3_2021";"week4_2021";"week5_2021";"week6_2021";"week7_2021";"week8_2021";"week9_2021";"week10_2021";"week11_2021";"week12_2021";"week13_2021";"week14_2021";"week15_2021";"week16_2021";"week1_2022";"week2_2022";"week3_2022";"week4_2022";"week5_2022";"week6_2022";"week7_2022";"week8_2022";"week9_2022";"week10_2022";"week11_2022";"week12_2022";"week13_2022";"week14_2022";"week15_2022";"week16_2022"
"1";"a1";0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1
"2";"a2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0
"3";"a3";0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"4";"a4";NA;0;0;1;1;0;0;0;1;1;0;0;1;0;0;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0
"5";"b1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;NA;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
"6";"b2";0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;NA;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;NA;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"b3";1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;NA;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
"8";"b4";0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;NA;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;0;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;1;0
"9";"c1";0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0
"10";"c2";0;1;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;NA;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;NA;NA;NA;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0
