"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
1;1;0.240103175910338;1;1;1;1;1;"a1"
5.89714481545681e-05;1;0.202483751623945;0.271191866922724;1;0.809060420707825;1;1;"a2"
1;1;0.134651199623822;0.194720037239758;1;1;1;1;"a3"
1;1;1;1;1;1;1;1;"a4"
0.0266488079277163;1;1;1;1;0.86712466403697;1;1;"b1"
1;1;1;1;1;0.904521033064071;1;0.100059135996033;"b2"
1;1;0.21426400675234;1;1;1;1;1;"b3"
1;1;1;0.0481061314861918;1;1;1;1;"b4"
1;1;1;1;1;1;1;1;"c1"
1;1;1;1;1;0.802287661268257;1;1;"c2"
1;1;1;1;1;1;1;1;"c3"
1;1;0.0731279854679517;0.0670878674940825;1;1;1;1;"c4"
1;1;1;1;1;1;0.0680278000576035;1;"d1"
0.000967955130694411;1;0.166592378491237;1;1;0.904521033064071;1;1;"d2"
1;1;1;1;1;1;1;0.00115635237991598;"d3"
1;1;1;1;1;0.706276731134627;1;1;"d4"
