"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
1;1;1;1;1;0.734180689970118;1;1;"a1"
1;1;1;1;1;1;1;1;"a2"
1;1;1;0.032559163173244;1;1;1;1;"a3"
1;1;1;1;1;1;1;1;"a4"
1;1;0.0346331216244828;0.0069211776628095;0.0193883875925249;0.412576463169538;1;0.0857985145519422;"b1"
1;1;1;1;0.000191068107858281;0.0495217469327199;2.10594361726218e-05;0.000170799037107364;"b2"
1;1;1;1;1;0.897306605297095;1;1;"b3"
1;1;1;0.216994832710563;1;0.522511172391129;1;1;"b4"
1;0.000220261591143631;0.00283596444104082;0.00523288538219316;0.000123039963969858;1;1;0.00205834215511707;"c1"
0.268679126385801;1;0.00728115414399016;0.024325224677697;0.00020736387789132;0.0814715111671637;0.00478387964895262;0.00485007013774247;"c2"
0.252321129418276;0.00909583490807541;1;0.0244110410262092;0.155914962867695;0.46544916254183;0.140452141426318;0.129825517239234;"c3"
1;1;1;0.104535079751308;1;0.248022273258396;1;0.0282574697060741;"c4"
0.00656780879144437;0.000467967894798131;0.0086403874959444;1;1;0.357063968875063;1;0.0245891764563446;"d1"
1;0.00279435730810239;0.137195069961545;0.070558623361089;1;0.36124831463877;0.0480518947395892;0.050022969739285;"d2"
1;0.00156265704364795;1;1;0.0382236580001762;0.203730781668978;1;0.0108170083469215;"d3"
1;1;0.290088707693911;0.0230185502451638;1;1;0.0042830610856757;1;"d4"
