"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
1;1;1;1;1;0.978581817916227;1;1;"a1"
1;1;0.00386775299962869;0.00810814143969729;1;0.192362300541943;0.000114065933026938;1;"a2"
1;1;1;1;1;1;1;1;"a3"
1;1;1;1;1;1;1;1;"a4"
1;1;1;1;1;1;1;1;"b1"
1;1;1;1;1;0.998144023420689;1;1;"b2"
1;1;0.0314278826935397;0.0507043652870232;1;1;1;1;"b3"
1;1;1;1;1;1;1;1;"b4"
1;1;1;1;1;1;1;1;"c1"
1;1;1;1;1;0.99453953273703;1;1;"c2"
1;1;1;1;1;1;1;1;"c3"
1;1;1;1;1;1;1;1;"c4"
1;1;1;1;1;1;1;1;"d1"
1;1;1;1;1;0.97616731935895;1;0.0153697137830185;"d2"
1;1;1;1;1;1;1;1;"d3"
1;1;0.974540745817754;1;1;1;1;1;"d4"
