"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
1;1;1;1;1;0.906574657301337;1;1;"a1"
1;1;1;1;1;0.871837454755074;1;1;"a2"
1;1;1;1;1;1;1;1;"a3"
1;1;1;1;1;0.548778510469714;0.264913574841752;1;"a4"
1;1;1;1;1;0.72763759636927;1;0.00216738718709315;"b1"
1;1;1;1;1;0.957562865959623;1;1;"b2"
1;1;1;1;1;0.746784059436215;1;1;"b3"
1;1;0.175751631523733;0.0565642596929721;0.0299349168750922;0.41369860273078;1;1;"b4"
1;1;1;1;1;1;1;1;"c1"
1;1;1;1;1;0.146930124679274;1;1;"c2"
0.0666652076901502;1;1;1;1;0.571530689513503;1;0.127287756121918;"c3"
1;1;0.826510704199741;1;1;0.913975652422014;1;1;"c4"
0.000274591266850031;1;1;0.00201316953566389;0.000160010024036204;0.138034942709752;1;0.00240764936762171;"d1"
1;1;0.231764882518983;1;1;0.631605601350054;0.0593370444905252;0.0868852202246031;"d2"
1;1;0.20945455289996;0.0621407289561894;0.0279563516248988;0.106654869846568;0.0725834102786775;0.107355889975514;"d3"
1;1;0.54715813327377;0.199013894473935;0.114499428491359;0.550209358149206;1;1;"d4"
