"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
0.0153183650254793;1;0.0035620646335349;1;0.00613367334190294;0.249210021146015;0.170502747871741;0.155645104793699;"a1"
0.445437267188161;0.61421238599457;0.773577717631887;0.901439668556627;1;0.996407830353268;0.993953973321372;0.992395828471622;"a2"
1;1;1;0.799621821288367;1;1;0.727772798114051;0.618884099127023;"a3"
0.0364991156822519;0.0106395562928989;0.0744568909071069;0.181543853245384;1;0.498778548780245;0.350722814418113;0.355472754020446;"a4"
1;0.992357886642161;1;0.99535656104849;1;0.987601163510779;0.978790462299805;0.973744862297587;"b1"
1;1;1;0.0524978565179167;0.006923222078999;0.338886640433292;0.166012647845724;0.19841413070015;"b2"
1;1;0.966476929668922;1;1;0.93262704833721;0.889790542311724;0.870457248218792;"b3"
0.160422848770367;1;1;1;0.131490198633084;0.290518606455648;0.506425262299579;1;"b4"
1;0.0473355956831437;0.155543912198491;1;0.0282922830224272;0.263011524737417;1;0.536706494568683;"c1"
0.124872998623079;0.0270938300528622;0.107895784344001;0.394872421611235;1;0.661812774986591;0.517927997028496;0.488311466112133;"c2"
0.170747679118316;0.275019420459221;0.403926722015007;0.537402174937519;0.660739835016906;0.85830218224236;1;0.991947412314818;"c3"
1;0.870791267640016;0.874317968514755;0.918111135335192;1;0.963933518551956;0.964507384166354;1;"c4"
0.211173750738543;0.303839589377549;0.411270017787064;0.515020401459205;0.596654891322767;0.723804098640416;0.802700795480284;0.859193438232628;"d1"
0.181610284506894;0.276190031048963;0.403689980690516;0.521826737371763;0.615813138821388;0.739460893556782;0.816175837218544;0.873059737696963;"d2"
0.214256792963009;0.305928864755246;0.41244950469743;0.502821825370177;0.582859692302988;0.712841344219081;0.79045127404265;0.847459472043261;"d3"
1;0.00806406967742941;0.24247884885412;0.135009308441114;0.0234915408891739;0.253343407629117;0.218046516716169;0.219576207027535;"d4"
