"Grid";"Year";"Cattle";"Horse";"RoeDeer";"WildBoar";"Fox";"Wolf";"Ibex"
"a1";2015;1;1;1;1;0.0114762444503238;0.0153183650254793;3.70574114947548e-32
"a2";2015;1;1;1;5.89714481545681e-05;1;0.445437267188161;2.97479529686981e-21
"a3";2015;1;1;1;1;0.00583318560403316;1;0.000592163134439734
"a4";2015;1;1;1;1;1;0.0364991156822519;7.93868619877907e-17
"b1";2015;1;1;1;0.0266488079277163;1;1;3.80974079780575e-05
"b2";2015;1;1;1;1;1;1;2.53493753648747e-14
"b3";2015;1;1;1;1;0.0120028906269744;1;0.00187570302504229
"b4";2015;1;1;1;1;0.0310482267741311;0.160422848770367;0.000713765319193482
"c1";2015;1;1;1;1;1;1;1.30743623364569e-06
"c2";2015;0.268679126385801;1;1;1;0.180959030066145;0.124872998623079;0.000187145463414018
"c3";2015;0.252321129418276;0.0666652076901502;1;1;0.0465137345957974;0.170747679118316;0.000713852784909378
"c4";2015;1;1;1;1;0.114995512640244;1;0.000711866178704516
"d1";2015;0.00656780879144437;0.000274591266850031;1;1;1;0.211173750738543;9.50953395800419e-06
"d2";2015;1;1;1;0.000967955130694411;0.0212626293701331;0.181610284506894;0.0006855972834033
"d3";2015;1;1;1;1;1;0.214256792963009;0.000714140471378469
"d4";2015;1;1;1;1;0.0430364066238373;1;5.08924011139748e-06
"a1";2016;1;1;1;1;1;1;5.6959824000883e-35
"a2";2016;1;1;1;1;1;0.61421238599457;1.24322566160496e-20
"a3";2016;1;1;1;1;1;1;1
"a4";2016;1;1;1;1;1;0.0106395562928989;4.71058043297341e-16
"b1";2016;1;1;1;1;1;0.992357886642161;0.0014010050012745
"b2";2016;1;1;1;1;1;1;9.93285140086286e-11
"b3";2016;1;1;1;1;1;1;0.129934178423016
"b4";2016;1;1;1;1;1;1;0.648913882089157
"c1";2016;0.000220261591143631;1;1;1;1;0.0473355956831437;8.62575109762035e-05
"c2";2016;1;1;1;1;1;0.0270938300528622;0.00472049849476664
"c3";2016;0.00909583490807541;1;1;1;1;0.275019420459221;0.274078972817665
"c4";2016;1;1;1;1;1;0.870791267640016;0.61038948816361
"d1";2016;0.000467967894798131;1;1;1;1;0.303839589377549;0.000799288661028237
"d2";2016;0.00279435730810239;1;1;1;1;0.276190031048963;0.185311080486568
"d3";2016;0.00156265704364795;1;1;1;0.2992919588363;0.305928864755246;0.578921108769771
"d4";2016;1;1;1;1;1;0.00806406967742941;0.0151151685167526
"a1";2017;1;1;1;0.240103175910338;0.249934296815699;0.0035620646335349;6.94790899309857e-29
"a2";2017;1;1;0.00386775299962869;0.202483751623945;1;0.773577717631887;6.93586107804736e-15
"a3";2017;1;1;1;0.134651199623822;0.443300037947283;1;0.999955532387829
"a4";2017;1;1;1;1;0.267131681122183;0.0744568909071069;4.84575023974967e-10
"b1";2017;0.0346331216244828;1;1;1;0.483189724175023;1;0.00324589688083454
"b2";2017;1;1;1;1;0.422623902846487;1;3.95028064416348e-09
"b3";2017;1;1;0.0314278826935397;0.21426400675234;0.483412133425195;0.966476929668922;0.282173522347587
"b4";2017;1;0.175751631523733;1;1;0.40314671815407;1;0.876494746054613
"c1";2017;0.00283596444104082;1;1;1;0.474413575144734;0.155543912198491;0.000215171887938584
"c2";2017;0.00728115414399016;1;1;1;0.484908316273018;0.107895784344001;0.00989894960308017
"c3";2017;1;1;1;1;0.506493881653705;0.403926722015007;0.472583265840331
"c4";2017;1;0.826510704199741;1;0.0731279854679517;0.579701717553008;0.874317968514755;0.848130894576103
"d1";2017;0.0086403874959444;1;1;1;0.228130022452344;0.411270017787064;0.00198316597275023
"d2";2017;0.137195069961545;0.231764882518983;1;0.166592378491237;0.559101422354637;0.403689980690516;0.336167566417059
"d3";2017;1;0.20945455289996;1;1;0.747994862224619;0.41244950469743;0.822412989790161
"d4";2017;0.290088707693911;0.54715813327377;0.974540745817754;1;0.406428650115584;0.24247884885412;0.337246561327548
"a1";2018;1;1;1;1;0.677558040438223;1;1.47813154052231e-26
