"Grid";"Year";"Occupancy";"Species"
"a1";2015;1;"Domestic cattle"
"a2";2015;1;"Domestic cattle"
"a3";2015;1;"Domestic cattle"
"a4";2015;1;"Domestic cattle"
"b1";2015;1;"Domestic cattle"
"b2";2015;1;"Domestic cattle"
"b3";2015;1;"Domestic cattle"
"b4";2015;1;"Domestic cattle"
"c1";2015;1;"Domestic cattle"
"c2";2015;0.268679126385801;"Domestic cattle"
"c3";2015;0.252321129418276;"Domestic cattle"
"c4";2015;1;"Domestic cattle"
"d1";2015;0.00656780879144437;"Domestic cattle"
"d2";2015;1;"Domestic cattle"
"d3";2015;1;"Domestic cattle"
"d4";2015;1;"Domestic cattle"
"a1";2016;1;"Domestic cattle"
"a2";2016;1;"Domestic cattle"
"a3";2016;1;"Domestic cattle"
"a4";2016;1;"Domestic cattle"
"b1";2016;1;"Domestic cattle"
"b2";2016;1;"Domestic cattle"
"b3";2016;1;"Domestic cattle"
"b4";2016;1;"Domestic cattle"
"c1";2016;0.000220261591143631;"Domestic cattle"
"c2";2016;1;"Domestic cattle"
"c3";2016;0.00909583490807541;"Domestic cattle"
"c4";2016;1;"Domestic cattle"
"d1";2016;0.000467967894798131;"Domestic cattle"
"d2";2016;0.00279435730810239;"Domestic cattle"
"d3";2016;0.00156265704364795;"Domestic cattle"
"d4";2016;1;"Domestic cattle"
"a1";2017;1;"Domestic cattle"
"a2";2017;1;"Domestic cattle"
"a3";2017;1;"Domestic cattle"
"a4";2017;1;"Domestic cattle"
"b1";2017;0.0346331216244828;"Domestic cattle"
"b2";2017;1;"Domestic cattle"
"b3";2017;1;"Domestic cattle"
"b4";2017;1;"Domestic cattle"
"c1";2017;0.00283596444104082;"Domestic cattle"
"c2";2017;0.00728115414399016;"Domestic cattle"
"c3";2017;1;"Domestic cattle"
"c4";2017;1;"Domestic cattle"
"d1";2017;0.0086403874959444;"Domestic cattle"
"d2";2017;0.137195069961545;"Domestic cattle"
"d3";2017;1;"Domestic cattle"
"d4";2017;0.290088707693911;"Domestic cattle"
"a1";2018;1;"Domestic cattle"
"a2";2018;1;"Domestic cattle"
"a3";2018;0.032559163173244;"Domestic cattle"
"a4";2018;1;"Domestic cattle"
"b1";2018;0.0069211776628095;"Domestic cattle"
"b2";2018;1;"Domestic cattle"
"b3";2018;1;"Domestic cattle"
"b4";2018;0.216994832710563;"Domestic cattle"
"c1";2018;0.00523288538219316;"Domestic cattle"
"c2";2018;0.024325224677697;"Domestic cattle"
"c3";2018;0.0244110410262092;"Domestic cattle"
"c4";2018;0.104535079751308;"Domestic cattle"
"d1";2018;1;"Domestic cattle"
"d2";2018;0.070558623361089;"Domestic cattle"
"d3";2018;1;"Domestic cattle"
"d4";2018;0.0230185502451638;"Domestic cattle"
"a1";2019;1;"Domestic cattle"
"a2";2019;1;"Domestic cattle"
"a3";2019;1;"Domestic cattle"
"a4";2019;1;"Domestic cattle"
"b1";2019;0.0193883875925249;"Domestic cattle"
"b2";2019;0.000191068107858281;"Domestic cattle"
"b3";2019;1;"Domestic cattle"
"b4";2019;1;"Domestic cattle"
"c1";2019;0.000123039963969858;"Domestic cattle"
"c2";2019;0.00020736387789132;"Domestic cattle"
"c3";2019;0.155914962867695;"Domestic cattle"
"c4";2019;1;"Domestic cattle"
"d1";2019;1;"Domestic cattle"
"d2";2019;1;"Domestic cattle"
"d3";2019;0.0382236580001762;"Domestic cattle"
"d4";2019;1;"Domestic cattle"
"a1";2020;0.734180689970118;"Domestic cattle"
"a2";2020;1;"Domestic cattle"
"a3";2020;1;"Domestic cattle"
"a4";2020;1;"Domestic cattle"
"b1";2020;0.412576463169538;"Domestic cattle"
"b2";2020;0.0495217469327199;"Domestic cattle"
"b3";2020;0.897306605297095;"Domestic cattle"
"b4";2020;0.522511172391129;"Domestic cattle"
"c1";2020;1;"Domestic cattle"
"c2";2020;0.0814715111671637;"Domestic cattle"
"c3";2020;0.46544916254183;"Domestic cattle"
"c4";2020;0.248022273258396;"Domestic cattle"
"d1";2020;0.357063968875063;"Domestic cattle"
"d2";2020;0.36124831463877;"Domestic cattle"
"d3";2020;0.203730781668978;"Domestic cattle"
"d4";2020;1;"Domestic cattle"
"a1";2021;1;"Domestic cattle"
"a2";2021;1;"Domestic cattle"
"a3";2021;1;"Domestic cattle"
"a4";2021;1;"Domestic cattle"
"b1";2021;1;"Domestic cattle"
"b2";2021;2.10594361726218e-05;"Domestic cattle"
"b3";2021;1;"Domestic cattle"
"b4";2021;1;"Domestic cattle"
"c1";2021;1;"Domestic cattle"
"c2";2021;0.00478387964895262;"Domestic cattle"
"c3";2021;0.140452141426318;"Domestic cattle"
"c4";2021;1;"Domestic cattle"
"d1";2021;1;"Domestic cattle"
"d2";2021;0.0480518947395892;"Domestic cattle"
"d3";2021;1;"Domestic cattle"
"d4";2021;0.0042830610856757;"Domestic cattle"
"a1";2022;1;"Domestic cattle"
"a2";2022;1;"Domestic cattle"
"a3";2022;1;"Domestic cattle"
"a4";2022;1;"Domestic cattle"
"b1";2022;0.0857985145519422;"Domestic cattle"
"b2";2022;0.000170799037107364;"Domestic cattle"
"b3";2022;1;"Domestic cattle"
"b4";2022;1;"Domestic cattle"
"c1";2022;0.00205834215511707;"Domestic cattle"
"c2";2022;0.00485007013774247;"Domestic cattle"
"c3";2022;0.129825517239234;"Domestic cattle"
"c4";2022;0.0282574697060741;"Domestic cattle"
"d1";2022;0.0245891764563446;"Domestic cattle"
"d2";2022;0.050022969739285;"Domestic cattle"
"d3";2022;0.0108170083469215;"Domestic cattle"
"d4";2022;1;"Domestic cattle"
"a1";2015;1;"Domestic horse"
"a2";2015;1;"Domestic horse"
"a3";2015;1;"Domestic horse"
"a4";2015;1;"Domestic horse"
"b1";2015;1;"Domestic horse"
"b2";2015;1;"Domestic horse"
"b3";2015;1;"Domestic horse"
"b4";2015;1;"Domestic horse"
"c1";2015;1;"Domestic horse"
"c2";2015;1;"Domestic horse"
"c3";2015;0.0666652076901502;"Domestic horse"
"c4";2015;1;"Domestic horse"
"d1";2015;0.000274591266850031;"Domestic horse"
"d2";2015;1;"Domestic horse"
"d3";2015;1;"Domestic horse"
"d4";2015;1;"Domestic horse"
"a1";2016;1;"Domestic horse"
"a2";2016;1;"Domestic horse"
"a3";2016;1;"Domestic horse"
"a4";2016;1;"Domestic horse"
"b1";2016;1;"Domestic horse"
"b2";2016;1;"Domestic horse"
"b3";2016;1;"Domestic horse"
"b4";2016;1;"Domestic horse"
"c1";2016;1;"Domestic horse"
"c2";2016;1;"Domestic horse"
"c3";2016;1;"Domestic horse"
"c4";2016;1;"Domestic horse"
"d1";2016;1;"Domestic horse"
"d2";2016;1;"Domestic horse"
"d3";2016;1;"Domestic horse"
"d4";2016;1;"Domestic horse"
"a1";2017;1;"Domestic horse"
"a2";2017;1;"Domestic horse"
"a3";2017;1;"Domestic horse"
"a4";2017;1;"Domestic horse"
"b1";2017;1;"Domestic horse"
"b2";2017;1;"Domestic horse"
"b3";2017;1;"Domestic horse"
"b4";2017;0.175751631523733;"Domestic horse"
"c1";2017;1;"Domestic horse"
"c2";2017;1;"Domestic horse"
"c3";2017;1;"Domestic horse"
"c4";2017;0.826510704199741;"Domestic horse"
"d1";2017;1;"Domestic horse"
"d2";2017;0.231764882518983;"Domestic horse"
"d3";2017;0.20945455289996;"Domestic horse"
"d4";2017;0.54715813327377;"Domestic horse"
"a1";2018;1;"Domestic horse"
"a2";2018;1;"Domestic horse"
"a3";2018;1;"Domestic horse"
"a4";2018;1;"Domestic horse"
"b1";2018;1;"Domestic horse"
"b2";2018;1;"Domestic horse"
"b3";2018;1;"Domestic horse"
"b4";2018;0.0565642596929721;"Domestic horse"
"c1";2018;1;"Domestic horse"
"c2";2018;1;"Domestic horse"
"c3";2018;1;"Domestic horse"
"c4";2018;1;"Domestic horse"
"d1";2018;0.00201316953566389;"Domestic horse"
"d2";2018;1;"Domestic horse"
"d3";2018;0.0621407289561894;"Domestic horse"
"d4";2018;0.199013894473935;"Domestic horse"
"a1";2019;1;"Domestic horse"
"a2";2019;1;"Domestic horse"
"a3";2019;1;"Domestic horse"
"a4";2019;1;"Domestic horse"
"b1";2019;1;"Domestic horse"
"b2";2019;1;"Domestic horse"
"b3";2019;1;"Domestic horse"
"b4";2019;0.0299349168750922;"Domestic horse"
"c1";2019;1;"Domestic horse"
"c2";2019;1;"Domestic horse"
"c3";2019;1;"Domestic horse"
"c4";2019;1;"Domestic horse"
"d1";2019;0.000160010024036204;"Domestic horse"
"d2";2019;1;"Domestic horse"
"d3";2019;0.0279563516248988;"Domestic horse"
"d4";2019;0.114499428491359;"Domestic horse"
"a1";2020;0.906574657301337;"Domestic horse"
"a2";2020;0.871837454755074;"Domestic horse"
"a3";2020;1;"Domestic horse"
"a4";2020;0.548778510469714;"Domestic horse"
"b1";2020;0.72763759636927;"Domestic horse"
"b2";2020;0.957562865959623;"Domestic horse"
