"Species";"Variable";"Occupancy";"Occ_SE";"Colonization";"Col_SE";"Extinction";"Ext_SE";"Detection";"Det_SE"
"Domestic cattle";"Intercept";0.845444401822343;0.102289942094071;0.397683683429564;0.102426647099162;0.329337156711372;0.0851522884773995;0.282407699666964;0.0164089854480725
"Domestic cattle";"Sensitivity";NA;NA;NA;NA;NA;NA;0.352681334926945;0.0204579750250985
"Domestic cattle";"Rad_max";NA;NA;NA;NA;NA;NA;0.310486911734576;0.0222187850450199
"Domestic cattle";"Temp_min";NA;NA;NA;NA;NA;NA;NA;NA
"Domestic cattle";"CostDist_road";NA;NA;NA;NA;0.0971161073640657;0.0648718717420328;NA;NA
"Domestic cattle";"CostDist_water";NA;NA;NA;NA;NA;NA;NA;NA
"Domestic cattle";"OakForest";NA;NA;0.622111408550452;0.140217653824015;0.119934666262372;0.0820550868027451;NA;NA
"Domestic cattle";"HighShrub";NA;NA;NA;NA;0.122048982811937;0.0899670912326083;0.258958500127263;0.0198859550287328
"Domestic cattle";"LowShrub";NA;NA;NA;NA;0.0465897219264335;0.0371429945869283;0.407264695536451;0.0193810278791747
"Domestic cattle";"Urban";NA;NA;NA;NA;NA;NA;NA;NA
"Domestic horse";"Intercept";0.879163629976438;0.083096939335317;0.577565238855859;0.157917833869352;0.115004684270853;0.0480921064299372;0.304316886434882;0.0156203582149804
"Domestic horse";"Sensitivity";NA;NA;NA;NA;NA;NA;0.338620596910106;0.0196671565711143
"Domestic horse";"Rad_max";NA;NA;NA;NA;NA;NA;0.3580582977809;0.0213301040509156
"Domestic horse";"Temp_min";NA;NA;NA;NA;NA;NA;0.269697736139164;0.0194678577204759
"Domestic horse";"CostDist_road";NA;NA;NA;NA;NA;NA;NA;NA
"Domestic horse";"CostDist_water";NA;NA;NA;NA;NA;NA;NA;NA
"Domestic horse";"OakForest";NA;NA;0.357276161943021;0.146965195131956;NA;NA;0.137192095207367;0.0169055820495434
"Domestic horse";"HighShrub";NA;NA;NA;NA;NA;NA;0.268803057559415;0.0189461845986816
"Domestic horse";"LowShrub";NA;NA;NA;NA;0.0575202210483763;0.0472826643170295;0.261040968615575;0.0201598676526012
"Domestic horse";"Urban";NA;NA;NA;NA;0.20321921887077;0.0837814957436131;NA;NA
"European roe deer";"Intercept";0.999824993925747;0.00329418136117943;0.528355109654237;0.213598861900755;0.0157400377745703;0.0138014118322704;0.386388014859122;0.0124796239628225
"European roe deer";"Sensitivity";NA;NA;NA;NA;NA;NA;0.491700789743971;0.0169664734230676
"European roe deer";"Rad_max";NA;NA;NA;NA;NA;NA;0.413234063574004;0.0180724484806639
"European roe deer";"Temp_min";NA;NA;NA;NA;NA;NA;NA;NA
"European roe deer";"CostDist_road";NA;NA;NA;NA;NA;NA;NA;NA
"European roe deer";"CostDist_water";NA;NA;NA;NA;NA;NA;NA;NA
"European roe deer";"OakForest";NA;NA;NA;NA;NA;NA;0.441453898266094;0.0192302323479771
"European roe deer";"HighShrub";NA;NA;NA;NA;0.0718291921441709;0.0410524317182041;NA;NA
"European roe deer";"LowShrub";NA;NA;NA;NA;NA;NA;0.42572807321147;0.0195935263664412
"European roe deer";"Urban";NA;NA;NA;NA;NA;NA;NA;NA
"Wild boar";"Intercept";0.913980136493414;0.0905979714522219;0.836725951913617;0.116392762563979;0.101781680823083;0.0349041607234329;0.288610126070351;0.0130053616254391
"Wild boar";"Sensitivity";NA;NA;NA;NA;NA;NA;0.354308228932164;0.0165275273609155
"Wild boar";"Rad_max";NA;NA;NA;NA;NA;NA;NA;NA
"Wild boar";"Temp_min";NA;NA;NA;NA;NA;NA;NA;NA
